conference,team,availability,win_pct,conf_win_pct,conf_rank,postseason,postseason_win_pct,weighted_postseason_win_pct,weighted_postseason_points,med_school,postseason_eff,eff_tier
ACC,Boston College,91.13%,0.167,0.125,16,0,0.000,0.000,0,0,0,No Postseason Appearance
ACC,California,90.18%,0.538,0.500,7,1,0.000,0.500,1,1,0.3465735903,Below Average
ACC,Clemson,92.06%,0.538,0.500,8,1,0.000,0.500,1,1,0.3465735903,Below Average
ACC,Duke,94.17%,0.643,0.750,1,1,1.000,1.000,8,1,2.079441542,Elite
ACC,Florida State,93.33%,0.417,0.250,13,0,0.000,0.000,0,0,0,No Postseason Appearance
ACC,Georgia Tech,99.05%,0.692,0.750,6,1,0.000,0.500,1,1,0.3465735903,Below Average
ACC,Louisville,94.39%,0.692,0.500,10,1,1.000,1.000,2,0,0.6931471806,Below Average
ACC,Miami (FL),93.69%,0.813,0.750,3,1,0.750,0.800,48,0,3.27547565,Elite
ACC,NC State,91.13%,0.615,0.500,9,1,1.000,1.000,2,1,0.6931471806,Below Average
ACC,North Carolina,91.35%,0.333,0.250,14,0,0.000,0.000,0,0,0,No Postseason Appearance
ACC,Pittsburgh,90.48%,0.615,0.750,4,1,0.000,0.500,1,0,0.3465735903,Below Average
ACC,SMU,93.40%,0.692,0.750,5,1,1.000,1.000,2,1,0.6931471806,Below Average
ACC,Stanford,89.91%,0.333,0.375,12,0,0.000,0.000,0,1,0,No Postseason Appearance
ACC,Syracuse,92.37%,0.250,0.125,17,0,0.000,0.000,0,1,0,No Postseason Appearance
ACC,Virginia,88.71%,0.786,0.875,2,1,0.500,0.625,5,1,1.299650964,Strong
ACC,Virginia Tech,87.04%,0.250,0.250,15,0,0.000,0.000,0,1,0,No Postseason Appearance
ACC,Wake Forest,88.14%,0.692,0.500,11,1,1.000,1.000,2,1,0.6931471806,Below Average
SEC,Alabama,94.68%,0.733,0.875,2,1,0.333,0.700,21,1,2.380838167,Elite
SEC,Arkansas,92.50%,0.167,0.000,16,0,0.000,0.000,0,1,0,No Postseason Appearance
